4.1.1.39	ribulose-bisphosphate carboxylase	0.00185	-	CO2	Vmax carboxylation: 3.78 micromol/min/mg	Zoysia japonica	-	28	704890	
4.1.1.39	ribulose-bisphosphate carboxylase	0.00185	-	CO2	Vmax carboxylation: 3.78 micromol/min/mg	Zoysia japonica	B0B758	28	704890	
4.1.1.39	ribulose-bisphosphate carboxylase	0.0021	-	CO2	Vmax carboxylation: 3.41 micromol/min/mg	Cynodon dactylon	-	28	704890	
4.1.1.39	ribulose-bisphosphate carboxylase	0.0021	-	CO2	Vmax carboxylation: 3.41 micromol/min/mg	Cynodon dactylon	B0B766	28	704890	
4.1.1.39	ribulose-bisphosphate carboxylase	0.004	-	CO2	20°C, pH not specified in the publication	Desmodium intortum	A0A1C3HPN7	28	748985	
4.1.1.39	ribulose-bisphosphate carboxylase	0.0051	-	CO2	pH 7.8, 25°C, mutant Val-335, in vivo	Nicotiana tabacum	-	28	653504	
4.1.1.39	ribulose-bisphosphate carboxylase	0.00534	-	CO2	pH 7.8, 35°C	Coffea arabica	-	28	653431	
4.1.1.39	ribulose-bisphosphate carboxylase	0.0064	-	CO2	20°C, pH not specified in the publication	Agriophyllum squarrosum	A0A1C3HPL7	28	748985	
4.1.1.39	ribulose-bisphosphate carboxylase	0.0066	-	CO2	20°C, pH not specified in the publication	Oryza sativa Japonica Group	A0A1C3HPR7	28	748985	
4.1.1.39	ribulose-bisphosphate carboxylase	0.0067	-	CO2	20°C, pH not specified in the publication	Citrullus lanatus	A0A1C3HPN1	28	748985	
4.1.1.39	ribulose-bisphosphate carboxylase	0.0068	-	CO2	20°C, pH not specified in the publication	Euphorbia helioscopia	A0A1C3HPN6	28	748985	
4.1.1.39	ribulose-bisphosphate carboxylase	0.0068	-	CO2	20°C, pH not specified in the publication	Mercurialis annua	A0A1C3HPR2	28	748985	
4.1.1.39	ribulose-bisphosphate carboxylase	0.0069	-	CO2	20°C, pH not specified in the publication, presence of 21% O2	Desmodium intortum	A0A1C3HPN7	28	748985	
4.1.1.39	ribulose-bisphosphate carboxylase	0.007	-	CO2	25°C, pH not specified in the publication	Oryza sativa Indica Group	A0A1C3HPR8	28	748985	
4.1.1.39	ribulose-bisphosphate carboxylase	0.0075	-	CO2	20°C, pH not specified in the publication	Glycine max	A0A1C3HPQ3	28	748985	
4.1.1.39	ribulose-bisphosphate carboxylase	0.0078	-	CO2	20°C, pH not specified in the publication	Artemisia vulgaris	A0A1C3HPM3	28	748985	
4.1.1.39	ribulose-bisphosphate carboxylase	0.0078	-	CO2	experimental conditions not available	Hibiscus cannabinus	-	28	651470	
