3.2.1.1	alpha-amylase	10000	-	alpha-amylase I, non-denaturing PAGE	Bacillus halodurans	-	678804	
3.2.1.1	alpha-amylase	22000	-	gel filtration	Eleusine coracana	-	656951	
3.2.1.1	alpha-amylase	22500	-	1 * 22500, SDS-PAGE	Lactobacillus fermentum	-	393387	
3.2.1.1	alpha-amylase	22500	-	gel filtration	Corallococcus coralloides	-	393445	
3.2.1.1	alpha-amylase	24000	-	gel filtration	Lactobacillus fermentum	-	393387	
3.2.1.1	alpha-amylase	25000	48000	gel filtration	Moesziomyces antarcticus	-	136189	
3.2.1.1	alpha-amylase	26000	-	gel filtration	Eleusine coracana	-	656951	
3.2.1.1	alpha-amylase	26000	-	gel filtration	Geobacillus thermoleovorans	-	677634	
3.2.1.1	alpha-amylase	27000	-	the difference between the value determined by gel filtration and by SDS-PAGE might be due to the affinity of this enzyme for Sephadex G-100, which might have substrate affinity for the enzyme	Brevibacillus brevis	-	393374	
3.2.1.1	alpha-amylase	30000	-	gel filtration at high ionic strength	Pisum sativum	-	393367	
3.2.1.1	alpha-amylase	30000	-	isozyme AoA1, gel filtration	Acanthoscelides obtectus	-	665271	
3.2.1.1	alpha-amylase	30000	-	native PAGE	Gracilibacillus dipsosauri	-	656677	
3.2.1.1	alpha-amylase	31000	-	gel filtration	Morimus funereus	-	679338	
3.2.1.1	alpha-amylase	32500	-	x * 32500, SDS-PAGE	Penicillium brevicompactum	-	718308	
3.2.1.1	alpha-amylase	33000	-	1 * 33000, SDS-PAGE	Morimus funereus	-	679338	
3.2.1.1	alpha-amylase	35000	-	SDS-PAGE	Carthamus tinctorius	-	702987	
3.2.1.1	alpha-amylase	40000	-	gel filtration	Sclerotinia sclerotiorum	-	693602	
3.2.1.1	alpha-amylase	40900	-	gel filtration	Saccharomycopsis fibuligera	-	393380	
3.2.1.1	alpha-amylase	42000	-	gel filtration and SDS-PAGE	Citrus sinensis	-	701763	
3.2.1.1	alpha-amylase	42000	-	x * 42000, SDS-PAGE	Pyrococcus sp.	O33476	722877	
3.2.1.1	alpha-amylase	42800	-	x * 42800, SDS-PAGE	Bacillus subtilis	-	664393	
3.2.1.1	alpha-amylase	43000	-	SDS-PAGE	Sclerotinia sclerotiorum	-	693602	
3.2.1.1	alpha-amylase	43500	-	1 * 43500, SDS-PAGE	Pisum sativum	-	393367	
3.2.1.1	alpha-amylase	44000	-	x * 44000, SDS-PAGE	Vigna angularis	-	655034	
3.2.1.1	alpha-amylase	44000	48000	sedimentation measurement	Humicola stellata	-	393406	
3.2.1.1	alpha-amylase	45000	-	enzyme form alpha-II, gel filtration	Dioscorea dumetorum	-	393414	
3.2.1.1	alpha-amylase	45000	-	gel filtration	Tulipa gesneriana	-	656916	
3.2.1.1	alpha-amylase	45000	-	gel filtration at low ionic strength	Pisum sativum	-	393367	
3.2.1.1	alpha-amylase	45000	-	isozyme AoA2, gel filtration	Acanthoscelides obtectus	-	665271	
3.2.1.1	alpha-amylase	45100	-	x * 45100, calculated from sequence	Musa acuminata	Q8LJQ6	680287	
3.2.1.1	alpha-amylase	46000	-	1 * 46000, alpha-amylase I, SDS-PAGE	Heterorhabditis bacteriophora	-	664649	
3.2.1.1	alpha-amylase	46000	-	x * 46000, SDS-PAGE	Musa acuminata	Q8LJQ6	680287	
