4.1.1.23	orotidine-5'-phosphate decarboxylase	22000	-	2 * 22000, SDS-PAGE	Sulfolobus acidocaldarius	-	651345
4.1.1.23	orotidine-5'-phosphate decarboxylase	27000	-	2 * 27000, SDS-PAGE	Escherichia coli	-	4178
4.1.1.23	orotidine-5'-phosphate decarboxylase	30000	-	x * 30000, about, sequence calculation	Myrothecium gramineum	-	679898
4.1.1.23	orotidine-5'-phosphate decarboxylase	30000	-	x * 30000, about, sequence calculation	Myrothecium gramineum	Q2HZ31	679898
4.1.1.23	orotidine-5'-phosphate decarboxylase	31100	-	x * 31100, calculation from amino acid sequence	Paracoccidioides brasiliensis	-	663451
4.1.1.23	orotidine-5'-phosphate decarboxylase	31100	-	x * 31100, calculation from amino acid sequence	Paracoccidioides brasiliensis	Q9C131	663451
4.1.1.23	orotidine-5'-phosphate decarboxylase	46000	-	gel filtration	Sulfolobus acidocaldarius	-	651345
4.1.1.23	orotidine-5'-phosphate decarboxylase	46000	-	non-denaturing PAGE	Pseudomonas aeruginosa	-	4189
4.1.1.23	orotidine-5'-phosphate decarboxylase	54000	-	gel filtration	Escherichia coli	-	4178
4.1.1.23	orotidine-5'-phosphate decarboxylase	62000	-	gel filtration	Pisum sativum	-	4168
