4.3.2.2	adenylosuccinate lyase	49600	-	4 * 49600, calculated. Enzyme forms a dimer of dimers, crystallization data	Staphylococcus aureus	-	713618	
4.3.2.2	adenylosuccinate lyase	49600	-	4 * 49600, calculated. Enzyme forms a dimer of dimers, crystallization data	Staphylococcus aureus	Q7A0G9	713618	
4.3.2.2	adenylosuccinate lyase	50000	-	4 * 50000, SDS-PAGE	Homo sapiens	-	34461	
4.3.2.2	adenylosuccinate lyase	52000	-	monomer	Thermotoga maritima	Q9X0I0	681945	
4.3.2.2	adenylosuccinate lyase	54552	-	x * 54552, calculated	Ctenopharyngodon idella	-	716175	
4.3.2.2	adenylosuccinate lyase	54552	-	x * 54552, calculated	Ctenopharyngodon idella	B2LS18	716175	
4.3.2.2	adenylosuccinate lyase	55000	-	4 * 55000, recombinant His-tagged enzyme, SDS-PAGE, 4 * 56235, recombinant His-tagged enzyme, mass spectrometry	Plasmodium falciparum	-	691116	
4.3.2.2	adenylosuccinate lyase	55000	-	4 * 55000, recombinant His-tagged enzyme, SDS-PAGE, 4 * 56235, recombinant His-tagged enzyme, mass spectrometry	Plasmodium falciparum	O15918	691116	
4.3.2.2	adenylosuccinate lyase	55000	-	x * 55000, calculation from nucleotide sequence	Plasmodium falciparum	-	34459	
4.3.2.2	adenylosuccinate lyase	56000	-	x * 56000, SDS-PAGE	Artemia sp.	-	34451	
4.3.2.2	adenylosuccinate lyase	56235	-	4 * 55000, recombinant His-tagged enzyme, SDS-PAGE, 4 * 56235, recombinant His-tagged enzyme, mass spectrometry	Plasmodium falciparum	-	691116	
4.3.2.2	adenylosuccinate lyase	56235	-	4 * 55000, recombinant His-tagged enzyme, SDS-PAGE, 4 * 56235, recombinant His-tagged enzyme, mass spectrometry	Plasmodium falciparum	O15918	691116	
4.3.2.2	adenylosuccinate lyase	196000	-	wild-type enzyme, gel filtration	Homo sapiens	-	34461	
4.3.2.2	adenylosuccinate lyase	200000	-	-	Neurospora crassa	-	34454	
4.3.2.2	adenylosuccinate lyase	200000	-	gel filtration	Artemia sp.	-	34451	
4.3.2.2	adenylosuccinate lyase	200000	-	gel filtration	Escherichia coli	-	706979	
4.3.2.2	adenylosuccinate lyase	200000	-	gel filtration	Escherichia coli	Q8X737	706979	
4.3.2.2	adenylosuccinate lyase	201000	-	mutant enzyme S413P, gel filtration	Homo sapiens	-	34461	
4.3.2.2	adenylosuccinate lyase	300000	-	gel filtration	Leishmania donovani	-	1541	
